timestamp,left_iris_x,left_iris_y,right_iris_x,right_iris_y
,405.8505554199219,231.1863555908203,354.5019226074219,228.19613647460938
,407.1145324707031,231.5398406982422,355.97491455078125,228.9506072998047
,407.97637939453125,233.01564025878906,356.6712951660156,229.34735107421875
,408.37890625,232.0146026611328,356.41241455078125,229.19419860839844
,408.041259765625,232.81906127929688,356.2850036621094,229.59365844726562
,407.81390380859375,233.0938720703125,356.23040771484375,229.57225036621094
,407.5222473144531,232.71356201171875,355.5791320800781,229.58457946777344
,406.6777038574219,233.549072265625,355.6226806640625,229.86695861816406
,405.8858337402344,233.4877166748047,354.38848876953125,230.2104034423828
,405.52099609375,233.50332641601562,353.6067199707031,230.0229034423828
,405.67694091796875,233.32443237304688,353.3890075683594,230.1495819091797
,404.68170166015625,233.35800170898438,353.1326904296875,230.62191772460938
,404.46490478515625,233.43289184570312,352.31658935546875,230.5279541015625
,404.5413513183594,233.7395782470703,353.11163330078125,230.5345001220703
,402.9831237792969,233.16827392578125,350.9953918457031,230.4875030517578
,403.65838623046875,233.11463928222656,351.87451171875,230.322021484375
,402.16412353515625,233.18508911132812,350.18768310546875,230.51675415039062
,402.3008728027344,233.54495239257812,351.1572265625,230.02349853515625
,401.8397521972656,233.04505920410156,349.14599609375,230.12774658203125
,401.78973388671875,232.88851928710938,350.0222473144531,229.92604064941406
,400.9656677246094,233.01097106933594,348.5362243652344,230.64962768554688
,400.558349609375,233.1798095703125,348.7562255859375,230.2818145751953
,400.56805419921875,233.45677185058594,348.4552917480469,230.27386474609375
,399.625732421875,232.901611328125,347.6988830566406,230.802001953125
,399.5636901855469,233.44398498535156,347.8824768066406,230.511962890625
,399.423583984375,232.822998046875,346.7919921875,230.45957946777344
,399.73101806640625,233.29098510742188,347.2550354003906,230.35205078125
,399.1734619140625,233.10121154785156,347.3587951660156,230.18505859375
,398.1495666503906,232.8925018310547,346.51226806640625,230.3189239501953
,397.1676940917969,233.30784606933594,346.0516052246094,230.13754272460938
,396.86492919921875,232.85720825195312,345.240478515625,230.11239624023438
,395.5941162109375,231.98049926757812,343.96038818359375,229.6304168701172
,395.704345703125,231.84291076660156,343.9345703125,229.68165588378906
,395.6183166503906,231.97486877441406,343.6651306152344,229.8954315185547
,395.0036926269531,231.77301025390625,343.47186279296875,229.52099609375
,394.4085388183594,231.06532287597656,341.9577941894531,229.5811309814453
,394.280029296875,231.43727111816406,342.3863525390625,229.58441162109375
