,screen_x,right_iris_y,Cluster
140,1500,250.9133758544922,20
141,1400,250.52706909179688,21
142,1300,250.24073791503903,22
143,1200,250.760986328125,23
144,1100,250.25624084472656,24
145,1000,249.8977508544922,25
146,900,250.06553649902344,26
147,800,249.51417541503903,27
148,700,249.55210876464844,28
149,600,248.98362731933597,29
150,500,249.4673767089844,30
151,400,249.10543823242188,31
152,300,249.0207977294922,32
153,200,249.41775512695312,33
154,100,248.8712158203125,34
155,0,248.94029235839844,35
156,20,249.6480712890625,36
157,120,249.8184814453125,37
158,220,249.4232482910156,38
159,320,249.5642852783203,39
160,420,247.9935302734375,0
161,520,245.8523712158203,1
162,620,245.7636260986328,2
163,720,245.53836059570312,3
164,820,246.0818023681641,4
165,920,246.12594604492188,5
166,1020,245.0069732666016,6
167,1120,245.7371826171875,7
168,1220,245.54049682617188,8
169,1320,245.18246459960935,9
170,1420,245.17286682128903,10
171,1520,245.66542053222656,11
172,1620,244.7180633544922,12
173,1720,245.5977935791016,13
174,1820,245.01661682128903,14
175,1920,246.12229919433597,15
176,1900,246.23863220214844,16
177,1800,246.26177978515625,17
178,1700,246.25881958007807,18
179,1600,245.76760864257807,19
180,1500,243.7947235107422,20
181,1400,244.5395050048828,21
182,1300,244.10427856445312,22
183,1200,244.00247192382807,23
184,1100,243.5891876220703,24
185,1000,244.32330322265625,25
186,900,244.5563507080078,26
187,800,244.79721069335935,27
188,700,245.0463409423828,28
189,600,244.944091796875,29
190,500,244.94761657714844,30
191,400,245.0943298339844,31
192,300,244.8842315673828,32
193,200,245.3980255126953,33
194,100,245.26231384277344,34
195,0,245.44793701171875,35
