timestamp,left_iris_x,left_iris_y,right_iris_x,right_iris_y,screen_x,screen_y
2023-5-26 15:34:5,336.72576904296875,244.8616943359375,281.00994873046875,243.6756591796875,420,20
2023-5-26 15:34:6,349.4696350097656,243.63853454589844,294.0434265136719,242.52574157714844,520,20
2023-5-26 15:34:7,355.3423767089844,243.80886840820312,299.24346923828125,242.9994659423828,620,20
2023-5-26 15:34:7,342.3531799316406,241.62982177734375,287.34783935546875,242.88409423828125,720,20
2023-5-26 15:34:8,337.32257080078125,243.933837890625,281.99749755859375,243.8262939453125,820,20
2023-5-26 15:34:8,341.7294921875,246.378173828125,287.3016357421875,244.4114990234375,920,20
2023-5-26 15:34:9,339.3572998046875,246.77609252929688,284.5080261230469,245.94400024414062,1020,20
2023-5-26 15:34:9,341.78399658203125,245.98866271972656,287.01910400390625,245.0969696044922,1120,20
2023-5-26 15:34:10,340.70281982421875,245.54727172851562,286.43896484375,244.98805236816406,1220,20
2023-5-26 15:34:10,340.1320495605469,245.06521606445312,285.9729919433594,244.50726318359375,1320,20
2023-5-26 15:34:11,342.2511291503906,244.38247680664062,288.2286071777344,243.71612548828125,1420,20
2023-5-26 15:34:11,340.634521484375,245.67222595214844,286.6668701171875,244.5425262451172,1520,20
2023-5-26 15:34:12,343.62762451171875,244.3156280517578,289.268798828125,243.995849609375,1620,20
2023-5-26 15:34:12,341.7653503417969,244.70736694335938,287.7573547363281,243.77491760253906,1720,20
2023-5-26 15:34:13,342.6405334472656,244.66603088378906,289.001220703125,244.2878875732422,1820,20
2023-5-26 15:34:13,340.8123474121094,245.02735900878906,287.2309265136719,243.71829223632812,1920,20
2023-5-26 15:34:14,340.5118103027344,244.79583740234375,287.0069274902344,243.88961791992188,1900,120
2023-5-26 15:34:14,341.645263671875,245.2458038330078,287.9508056640625,244.1165008544922,1800,120
2023-5-26 15:34:15,342.5506286621094,246.30270385742188,288.6215515136719,244.68116760253906,1700,120
2023-5-26 15:34:15,343.2059326171875,246.0033416748047,289.1201477050781,244.23550415039062,1600,120
2023-5-26 15:34:16,344.5043029785156,246.60989379882812,290.66436767578125,244.80848693847656,1500,120
2023-5-26 15:34:16,345.2703857421875,246.67764282226562,290.7962951660156,244.50547790527344,1400,120
2023-5-26 15:34:17,345.5244140625,246.34930419921875,291.17913818359375,243.70127868652344,1300,120
2023-5-26 15:34:18,345.8507080078125,246.64073181152344,291.44219970703125,243.86483764648438,1200,120
2023-5-26 15:34:18,346.57415771484375,246.93862915039062,292.4138488769531,244.07371520996094,1100,120
2023-5-26 15:34:19,347.33660888671875,246.21771240234375,292.6872863769531,244.01077270507812,1000,120
2023-5-26 15:34:19,348.1502380371094,246.04684448242188,293.9319763183594,243.81759643554688,900,120
2023-5-26 15:34:20,349.404052734375,246.30133056640625,295.14373779296875,244.1376190185547,800,120
2023-5-26 15:34:20,350.0457458496094,246.96380615234375,295.9242248535156,243.88583374023438,700,120
2023-5-26 15:34:21,351.20391845703125,246.84280395507812,296.7142028808594,243.6802215576172,600,120
2023-5-26 15:34:21,351.7628173828125,246.2956085205078,297.700927734375,243.7144012451172,500,120
2023-5-26 15:34:22,354.1990661621094,245.7473907470703,300.79437255859375,243.23861694335938,400,120
2023-5-26 15:34:22,355.85052490234375,246.55078125,301.730712890625,244.31973266601562,300,120
2023-5-26 15:34:23,355.623291015625,247.0106964111328,302.21685791015625,244.13604736328125,200,120
2023-5-26 15:34:23,355.7632751464844,246.24607849121094,302.02740478515625,244.38723754882812,100,120
2023-5-26 15:34:24,356.7904357910156,246.56578063964844,302.9414978027344,244.8167266845703,0,120
2023-5-26 15:34:24,357.8786315917969,247.31396484375,303.95684814453125,245.29144287109375,20,220
2023-5-26 15:34:25,357.9951477050781,248.2170867919922,304.620361328125,245.47512817382812,120,220
2023-5-26 15:34:25,356.2341613769531,249.1038055419922,302.77093505859375,246.37332153320312,220,220
2023-5-26 15:34:26,353.81207275390625,249.2506866455078,300.2864990234375,247.4286651611328,320,220
2023-5-26 15:34:26,347.57568359375,247.75485229492188,293.42083740234375,247.267822265625,420,220
2023-5-26 15:34:27,349.6695251464844,247.48348999023438,295.509765625,246.25257873535156,520,220
2023-5-26 15:34:27,348.45220947265625,246.7423095703125,294.1509704589844,246.26124572753906,620,220
2023-5-26 15:34:28,348.6149597167969,246.6168212890625,294.1507263183594,246.62078857421875,720,220
2023-5-26 15:34:28,347.84771728515625,246.8317413330078,293.3088684082031,246.32765197753906,820,220
2023-5-26 15:34:29,347.4283142089844,245.84986877441406,293.0907897949219,245.5774383544922,920,220
2023-5-26 15:34:29,347.2074890136719,246.6627960205078,293.01318359375,245.2097625732422,1020,220
2023-5-26 15:34:30,346.6120910644531,246.64926147460938,292.16595458984375,245.31710815429688,1120,220
2023-5-26 15:34:31,346.3581848144531,245.43211364746094,291.6329040527344,244.83482360839844,1220,220
2023-5-26 15:34:31,354.82098388671875,248.9513702392578,300.34100341796875,246.53993225097656,1320,220
2023-5-26 15:34:32,347.8380126953125,248.32705688476562,293.2793273925781,248.44403076171875,1420,220
2023-5-26 15:34:32,345.27838134765625,247.46897888183594,290.8286437988281,247.3284149169922,1520,220
2023-5-26 15:34:33,346.0719299316406,247.33395385742188,291.5323791503906,246.39877319335938,1620,220
2023-5-26 15:34:33,345.55657958984375,247.56895446777344,291.42010498046875,246.6956024169922,1720,220
2023-5-26 15:34:34,344.7796325683594,247.18521118164062,290.013671875,246.5362548828125,1820,220
2023-5-26 15:34:34,343.962646484375,247.86383056640625,289.5024719238281,246.6126708984375,1920,220
